trialIndex,numUnstable,numNM1,numNM2,matchingAM,matchingGM,unstableAM,unstableGM,unstableRAM,nm1AM,nm1GM,nm1RAM,nm2GenAM,nm2GenGM,nm2GenRAM,nm2AM,nm2GM,nm2RAM,numEdges,numSingletons,numChains,numCycles,avgChainLen,avgCycleLen,converges
13311,2,2,1,"[0.5, 0.5, 1.0, 1.5, 2.0, 3.0, 3.0, 3.5, 3.5, 6.0]","[0.0, 0.0, 0.0, 1.4142135, 1.7320508, 2.236068, 3.0, 3.4641016, 3.4641016, 5.656854]","[1.5, 2.0]","[1.4142135, 1.7320508]","[-3.5, -2.0]","[1.5, 2.0]","[1.4142135, 1.7320508]","[-3.5, -2.0]","[4.0, 6.0]","[0.0, 5.91608]","[0.0, 1.5]",[5.5],[4.8989797],[3.0],1,0,1,0,1.0,0.0,0
25189,2,2,2,"[0.0, 0.5, 1.0, 1.5, 1.5, 2.0, 2.0, 2.0, 3.5, 6.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 2.0, 5.656854]","[1.0, 4.5]","[1.0, 4.2426405]","[-3.0, -1.0]","[1.0, 4.5]","[1.0, 4.2426405]","[-3.0, -1.0]","[4.0, 5.0]","[3.4641016, 5.0]","[2.0, 3.5]","[4.0, 5.0]","[3.4641016, 5.0]","[2.0, 3.5]",0,2,0,0,0.0,0.0,0
49253,3,2,1,"[1.0, 1.5, 2.0, 2.0, 2.0, 2.0, 3.5, 4.0, 4.5, 6.5]","[0.0, 0.0, 0.0, 1.0, 1.4142135, 1.7320508, 3.4641016, 3.4641016, 4.472136, 6.3245554]","[1.0, 2.0, 2.5]","[1.0, 1.7320508, 2.0]","[-5.0, -3.5, -3.0]","[1.0, 2.0]","[1.0, 1.7320508]","[-5.0, -3.0]","[2.5, 4.0]","[2.0, 3.4641016]","[-3.5, 1.5]",[6.5],[6.3245554],[4.5],1,0,1,0,1.0,0.0,0
671,5,2,1,"[0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 5.0, 5.0, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 2.0, 4.0, 4.0, 5.477226]","[1.5, 2.0, 3.0, 4.0, 4.0]","[0.0, 0.0, 2.828427, 3.8729835, 3.8729835]","[-5.0, -4.0, -3.0, -2.5, -2.0]","[2.0, 3.0]","[0.0, 2.828427]","[-5.0, -2.5]","[1.5, 8.5]","[0.0, 8.485281]","[-2.0, 5.5]",[3.0],[3.0],[2.0],1,0,1,0,1.0,0.0,1
960,2,1,1,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.0, 3.0, 3.5, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.4142135, 1.7320508, 3.1622777, 3.8729835]","[1.0, 2.5]","[0.0, 2.4494898]","[-2.5, -2.0]",[1.0],[0.0],[-2.0],[4.5],[4.2426405],[4.0],[4.5],[4.2426405],[4.0],0,1,0,0,0.0,0.0,1
91327,1,1,1,"[1.0, 1.0, 1.5, 1.5, 1.5, 1.5, 2.0, 2.5, 2.5, 3.0]","[0.0, 0.0, 0.0, 1.4142135, 1.4142135, 1.4142135, 1.4142135, 2.4494898, 2.4494898, 2.828427]",[2.0],[2.0],[-1.5],[2.0],[2.0],[-1.5],[5.0],[4.0],[4.0],[5.0],[4.0],[4.0],0,1,0,0,0.0,0.0,0
51629,3,2,1,"[0.5, 1.0, 1.5, 1.5, 2.5, 2.5, 3.0, 4.0, 4.0, 4.5]","[0.0, 0.0, 0.0, 1.4142135, 1.4142135, 2.236068, 2.4494898, 2.6457512, 3.8729835, 4.472136]","[1.5, 2.5, 4.0]","[0.0, 2.0, 3.8729835]","[-2.0, -1.0, -1.0]","[1.5, 4.0]","[0.0, 3.8729835]","[-2.0, -1.0]","[4.0, 4.0]","[3.4641016, 3.4641016]","[-1.0, 1.5]",[3.0],[2.236068],[0.0],1,0,1,0,1.0,0.0,0
10521,2,1,1,"[0.0, 0.0, 0.5, 1.5, 2.0, 2.0, 3.0, 3.0, 5.5, 6.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.828427, 3.0, 4.2426405, 6.3245554]","[0.5, 5.5]","[0.0, 5.477226]","[-4.5, -3.0]",[0.5],[0.0],[-4.5],[8.5],[8.485281],[7.5],[8.5],[8.485281],[7.5],0,1,0,0,0.0,0.0,0
88,1,1,1,"[0.0, 0.5, 0.5, 1.5, 1.5, 2.0, 2.0, 2.0, 3.0, 3.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 1.7320508, 2.0, 3.0, 3.1622777]",[1.5],[1.4142135],[-1.5],[1.5],[1.4142135],[-1.5],[7.0],[6.708204],[5.5],[7.0],[6.708204],[5.5],0,1,0,0,0.0,0.0,1
62667,2,1,1,"[0.0, 0.0, 0.5, 1.0, 1.5, 1.5, 2.0, 2.5, 3.0, 4.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4494898, 2.828427, 2.828427]","[3.0, 4.5]","[2.828427, 3.7416575]","[-2.5, -1.0]",[3.0],[2.828427],[-2.5],[6.0],[5.91608],[5.5],[6.0],[5.91608],[5.5],0,1,0,0,0.0,0.0,0
