trialIndex,numUnstable,numNM1,numNM2,matchingAM,matchingGM,unstableAM,unstableGM,unstableRAM,nm1AM,nm1GM,nm1RAM,nm2GenAM,nm2GenGM,nm2GenRAM,nm2AM,nm2GM,nm2RAM,numEdges,numSingletons,numChains,numCycles,avgChainLen,avgCycleLen,converges
34077,10,5,1,"[0.0, 0.5, 0.5, 2.0, 3.0, 4.0, 5.0, 6.0, 6.0, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 3.4641016, 4.0, 5.656854, 5.91608, 8.0]","[1.5, 1.5, 2.0, 2.5, 2.5, 3.0, 3.5, 4.0, 5.5, 5.5]","[0.0, 0.0, 1.7320508, 2.4494898, 2.4494898, 2.4494898, 2.6457512, 2.828427, 5.477226, 5.477226]","[-5.0, -4.5, -3.5, -3.5, -3.5, -3.5, -3.0, -2.5, -2.5, -2.0]","[1.5, 2.0, 2.5, 2.5, 3.0]","[0.0, 1.7320508, 2.4494898, 2.4494898, 2.828427]","[-5.0, -3.5, -3.5, -3.0, -2.5]","[1.5, 3.5, 5.5, 8.0, 8.5]","[0.0, 3.1622777, 4.2426405, 7.937254, 8.485281]","[-3.5, -0.5, 0.0, 1.0, 6.0]",[4.0],[3.4641016],[4.0],4,0,1,1,1.0,3.0,0
609,6,3,3,"[1.0, 1.0, 1.5, 2.0, 2.0, 2.0, 3.5, 4.0, 5.5, 5.5]","[0.0, 0.0, 0.0, 0.0, 1.4142135, 1.7320508, 2.0, 2.6457512, 4.2426405, 5.477226]","[1.5, 1.5, 2.0, 2.5, 4.0, 5.0]","[0.0, 0.0, 1.7320508, 2.0, 3.8729835, 4.0]","[-4.5, -3.5, -3.0, -2.5, -1.5, -1.5]","[1.5, 2.0, 2.5]","[0.0, 1.7320508, 2.0]","[-4.5, -3.5, -2.5]","[4.0, 4.5, 7.0]","[0.0, 3.8729835, 6.708204]","[3.0, 3.5, 4.0]","[4.0, 4.5, 7.0]","[0.0, 3.8729835, 6.708204]","[3.0, 3.5, 4.0]",0,3,0,0,0.0,0.0,1
78887,6,1,1,"[0.0, 0.0, 0.5, 0.5, 1.0, 1.5, 2.5, 4.5, 5.0, 7.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 3.7416575, 4.0, 6.928203]","[2.0, 3.0, 3.0, 3.0, 4.0, 4.0]","[0.0, 0.0, 1.7320508, 2.6457512, 2.828427, 4.0]","[-5.5, -4.5, -3.0, -2.5, -1.5, -1.5]",[2.0],[1.7320508],[-5.5],[2.5],[2.4494898],[-1.5],[2.5],[2.4494898],[-1.5],0,1,0,0,0.0,0.0,0
210,8,2,1,"[0.5, 0.5, 1.0, 3.5, 4.0, 4.0, 4.0, 5.0, 7.0, 7.0]","[0.0, 0.0, 0.0, 0.0, 2.6457512, 3.4641016, 3.4641016, 4.0, 6.708204, 6.928203]","[2.0, 3.0, 4.5, 4.5, 4.5, 4.5, 4.5, 5.5]","[2.0, 2.236068, 2.828427, 3.7416575, 4.2426405, 4.2426405, 4.2426405, 5.2915025]","[-5.5, -4.0, -4.0, -3.5, -2.5, -2.5, -2.0, -1.0]","[2.0, 3.0]","[2.0, 2.236068]","[-5.5, -4.0]","[5.0, 5.5]","[4.0, 4.8989797]","[0.5, 2.5]",[2.5],[2.4494898],[2.0],1,0,1,0,1.0,0.0,1
714,8,3,2,"[1.0, 1.0, 1.5, 1.5, 1.5, 3.5, 3.5, 4.5, 5.0, 7.0]","[0.0, 0.0, 1.4142135, 1.4142135, 1.4142135, 2.828427, 3.1622777, 3.1622777, 4.8989797, 6.928203]","[0.5, 1.0, 2.0, 2.5, 3.0, 3.5, 4.5, 5.0]","[0.0, 0.0, 0.0, 0.0, 2.828427, 3.4641016, 3.7416575, 5.0]","[-5.0, -3.5, -2.5, -2.0, -2.0, -2.0, -2.0, -1.5]","[0.5, 1.0, 3.5]","[0.0, 0.0, 3.4641016]","[-5.0, -2.5, -1.5]","[6.0, 6.5, 7.0]","[5.91608, 6.3245554, 6.928203]","[1.0, 3.0, 4.0]","[3.0, 6.0]","[2.828427, 5.91608]","[-1.5, 4.0]",1,1,1,0,1.0,0.0,1
294,6,3,2,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.5, 3.5, 3.5, 6.0, 6.0]","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.4142135, 2.4494898, 5.196152, 5.91608]","[1.0, 1.5, 2.0, 2.5, 3.0, 5.5]","[0.0, 0.0, 0.0, 1.0, 2.236068, 4.8989797]","[-5.0, -3.0, -3.0, -2.0, -2.0, -1.5]","[1.0, 1.5, 2.0]","[0.0, 0.0, 1.0]","[-3.0, -3.0, -2.0]","[5.5, 6.0, 7.5]","[5.2915025, 5.656854, 7.483315]","[-2.0, 4.5, 5.0]","[5.0, 5.5]","[5.0, 5.2915025]","[0.5, 4.5]",1,1,1,0,1.0,0.0,1
64476,2,2,1,"[0.5, 0.5, 1.0, 1.0, 1.5, 1.5, 1.5, 3.0, 4.5, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 4.472136, 5.477226]","[1.5, 2.0]","[0.0, 1.4142135]","[-3.0, -1.0]","[1.5, 2.0]","[0.0, 1.4142135]","[-3.0, -1.0]","[1.0, 6.5]","[0.0, 6.3245554]","[-1.5, 3.0]",[3.5],[3.4641016],[3.0],1,0,1,0,1.0,0.0,0
226,5,3,2,"[0.0, 0.5, 0.5, 0.5, 1.0, 2.5, 2.5, 3.5, 6.0, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.4494898, 6.0, 7.937254]","[2.5, 2.5, 3.0, 3.0, 5.0]","[0.0, 2.236068, 2.4494898, 3.0, 5.0]","[-4.5, -3.5, -2.5, -1.5, -1.0]","[2.5, 2.5, 3.0]","[0.0, 2.236068, 2.4494898]","[-3.5, -2.5, -1.0]","[2.0, 6.0, 8.5]","[2.0, 5.656854, 8.485281]","[-1.0, 2.5, 5.0]","[6.0, 8.5]","[5.196152, 8.485281]","[5.0, 5.5]",1,1,1,0,1.0,0.0,1
377,7,3,2,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 4.5, 4.5, 7.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 3.0, 4.472136, 7.0]","[1.5, 2.5, 2.5, 2.5, 4.0, 4.0, 4.5]","[0.0, 0.0, 1.4142135, 2.0, 2.0, 3.4641016, 4.2426405]","[-5.5, -3.5, -3.5, -3.0, -2.0, -1.5, -1.5]","[1.5, 2.5, 2.5]","[1.4142135, 2.0, 2.0]","[-5.5, -3.5, -1.5]","[3.0, 4.5, 6.0]","[2.828427, 4.472136, 6.0]","[0.5, 1.0, 2.5]","[3.0, 8.0]","[2.828427, 7.937254]","[2.5, 6.0]",1,1,1,0,1.0,0.0,1
92301,7,2,2,"[0.0, 0.5, 0.5, 1.0, 1.5, 3.0, 3.5, 4.5, 4.5, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 4.2426405, 4.472136, 5.2915025]","[1.5, 1.5, 1.5, 1.5, 3.0, 3.5, 4.0]","[0.0, 0.0, 1.4142135, 1.4142135, 2.4494898, 2.828427, 3.4641016]","[-4.0, -3.5, -2.5, -2.5, -2.5, -2.0, -2.0]","[1.5, 3.0]","[1.4142135, 2.828427]","[-4.0, -2.5]","[2.0, 6.0]","[0.0, 5.91608]","[0.0, 2.5]","[2.0, 6.0]","[0.0, 5.91608]","[0.0, 2.5]",0,2,0,0,0.0,0.0,0
