learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.66978824,0.6733255,0.58573335,0.58102
0.001,0.6698402,0.67109877,0.58523333,0.58428
0.001,0.669429,0.6754122,0.58624667,0.57738
0.001,0.6695664,0.6716692,0.58732,0.58182
0.001,0.6693306,0.67040193,0.58584666,0.58468
0.001,0.66934747,0.67124873,0.5859067,0.58422
0.001,0.6691813,0.67767996,0.58677334,0.57406
0.001,0.6686711,0.6763251,0.58818,0.5775
0.001,0.66880244,0.67308253,0.58838,0.58096
0.001,0.66897786,0.6826645,0.58703333,0.56776
0.001,0.6685792,0.67370623,0.58750665,0.58056
0.001,0.6680181,0.67130864,0.58886665,0.58412
0.001,0.66836244,0.67340153,0.5879933,0.57888
0.001,0.6678257,0.67007595,0.58872664,0.58724
0.001,0.667738,0.6714684,0.58916664,0.58286
0.001,0.66765314,0.6861228,0.5898333,0.56448
0.001,0.6676418,0.669999,0.58918667,0.58604
0.001,0.6678896,0.6761729,0.59025335,0.57664
0.001,0.66764164,0.672277,0.5894333,0.58222
0.001,0.66726714,0.67335886,0.59076,0.5815
0.001,0.66725075,0.67411333,0.59098667,0.58038
0.001,0.66749,0.6700852,0.5895467,0.583
0.001,0.66713345,0.67979234,0.59121335,0.57284
0.001,0.6669615,0.6702164,0.59032,0.58696
0.001,0.6666117,0.67062587,0.59103334,0.58414
0.001,0.6663179,0.6712194,0.5907133,0.5836
0.001,0.6661559,0.6747954,0.59268665,0.57826
0.001,0.6662011,0.6731796,0.59206,0.57916
0.001,0.66563964,0.6765783,0.59304667,0.57534
0.001,0.6659772,0.67593855,0.5921133,0.5767
0.001,0.6656354,0.6716076,0.59204,0.58212
0.001,0.6655559,0.6711342,0.59248,0.58508
0.001,0.6652665,0.6704035,0.5946,0.58474
0.001,0.6651724,0.67060053,0.5938067,0.58236
0.001,0.6653817,0.6712609,0.5926333,0.58308
0.001,0.6651415,0.6695142,0.594,0.58732
0.001,0.6649061,0.6725237,0.59372,0.58278
0.001,0.66467875,0.6720468,0.59543335,0.58196
0.001,0.66469604,0.67272127,0.5936,0.58316
0.001,0.6642828,0.671602,0.59510666,0.58282
0.001,0.6642349,0.6699755,0.5949467,0.58634
0.001,0.663714,0.6733661,0.5963067,0.5826
0.001,0.6638469,0.67578477,0.5968267,0.57692
0.001,0.6637575,0.6702646,0.5964467,0.58538
0.001,0.66329706,0.67128676,0.5976933,0.58166
0.001,0.663606,0.6726671,0.59561336,0.58048
0.001,0.6633372,0.6710854,0.59706664,0.5855
0.001,0.66247463,0.6768656,0.5978467,0.57866
0.001,0.66255856,0.6741564,0.59801334,0.58416
